Company_ID_Number,Company_City,"City_Zip
",Job_Title,Job_Link,Job_Type,Company_Rating,Job_Degree,Company_Name,Company_Industry,Job_Salary,Job_Skills,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s14,s15
Job37,Dallas,75001,AI Scientist,https://www.indeed.com/rc/clk?jk=41e48027cfc734b5&fccid=0918a251e6902f97&vjs=3,artificial_intelligence,4,Bachelors Degree,Dell,Computers and Electronics,80000-99999,Data Mining,Data Warehouse,R,SAS,Statisical Analysis,Python,SQL,,,,,,,
Job38,Philadelphia,19019,AI Scientist - Labor Planning & Analytics,https://www.indeed.com/rc/clk?jk=2e91b90841f2ae9c&fccid=55a2bdb0a91b873d&vjs=3,artificial_intelligence,3.5,Masters Degree,Dick's Sporting Goods,Retail,80000-99999,Machine Learning,R,Microsoft Office,SQL,Alteryx,Data Warehouse,Python,,,,,,,
Job39,St. Louis,63101,Associate AI Scientist,https://www.indeed.com/rc/clk?jk=42bcf6e4c861c3ef&fccid=f6b7f1c44b44197c&vjs=3,artificial_intelligence,3.9,PHD/Doctorate Degree,Hallmark,Consumer Goods and Services,80000-99999,Machine Learning,R,Perl,C/C++,SQL,Big Data,SPSS,MATLAB,Data Mining,Ruby,Hadoop,SAS,Tableau,Java
Job40,Charleston,29401,D3 - Junior AI Scientist 1,https://www.indeed.com/rc/clk?jk=8b8e6b9036927def&fccid=3a71a4d2f7990a25&vjs=3,artificial_intelligence,3.8,Associates Degree,Allstate,Insurance,80000-99999,Machine Learning,R,Perl,SPSS,MATLAB,Statistical Software,Hadoop,SAS,Java,Python,,,,
Job41,Santa Fe,87505,AI Scientist,https://www.indeed.com/rc/clk?jk=e1e17280e5f397d7&fccid=ce80ec5079d3411a&vjs=3,artificial_intelligence,4.2,PHD/Doctorate Degree,L. L. Bean,Software Development,80000-99999,R,Marketing,SAS,SQL,Python,,,,,,,,,
Job42,Chicago,60657,AI Scientist,https://www.indeed.com/rc/clk?jk=4b36b4e1cdb8a210&fccid=bfef2b2da6904e2a&vjs=3,artificial_intelligence,3.9,Masters Degree,Wunderman,Software Development,80000-99999,Machine Learning,R,SAS,Python,SQL,,,,,,,,,
Job44,Las Vegas,06101,Junior AI Scientist,https://www.indeed.com/rc/clk?jk=8449855ca5e0f751&fccid=6602679598abef38&vjs=3,artificial_intelligence,3.3,Associates Degree,Interactive Brokers,Banks and Financial Services,80000-99999,Java,AI,Machine Learning,,,,,,,,,,,
Job45,Hartford,98101,D3 - Junior AI Scientist,https://www.indeed.com/rc/clk?jk=8ed0818ce79704e8&fccid=3a71a4d2f7990a25&vjs=3,artificial_intelligence,3.8,Masters Degree,Allstate,Insurance,80000-99999,Machine Learning,R,Perl,SPSS,MATLAB,Statistical Software,Hadoop,SAS,Java,Python,,,,
Job46,Seattle,63101,AI Scientist II (Forecasting & Scheduling),https://www.indeed.com/rc/clk?jk=a3e5d7f3b24270cd&fccid=12e41f7040f168e8&vjs=3,artificial_intelligence,3.3,Masters Degree,Grubhub,Internet and Software,80000-99999,Predictive Analytics,Hive,Spark,Machine Learning,Python,SQL,AWS,,,,,,,
Job47,St. Louis,02860,AI Scientist,https://www.indeed.com/rc/clk?jk=c9c9d40572c7e5ad&fccid=fe9f3e46b5a733c0&vjs=3,artificial_intelligence,3.9,Associates Degree,Amica Insurance Company,Insurance,80000-99999,Business Intelligence,Data Mining,Machine Learning,R,SAS,Sentiment Analytics,SQL,SPSS,Data Science,Python,,,,
Job48,Providence,19019,AI Scientist,https://www.indeed.com/rc/clk?jk=73ffc2b9ce409dab&fccid=b75dda97eecc3e82&vjs=3,artificial_intelligence,3.8,PHD/Doctorate Degree,UPMC,Health Care,80000-99999,Machine Learning,Data Management,MATLAB,R,SAS,,,,,,,,,
Job49,Philadelphia,32808,AI Scientist (Python/R) – People Analytics - USDC,https://www.indeed.com/rc/clk?jk=e79269b077c1bae1&fccid=9e215d88a6b33622&vjs=3,artificial_intelligence,4,Masters Degree,Deloitte,Consulting and Business Services,80000-99999,Data Mining,R,SAS,Sentiment Analytics,Microsoft Office,Tableau,Natural Language Processing,Python,Data Science,,,,,
Job50,Orlando,37011,AI Scientist,https://www.indeed.com/rc/clk?jk=4e4002177d650e24&fccid=a2b2b9c11fdf3f39&vjs=3,artificial_intelligence,3.2,Associates Degree,Sedgwick Claims Management Services,Insurance,80000-99999,Machine Learning,R,SAS,Microsoft Office,SQL,,,,,,,,,
Job51,Nashville,32808,AI Scientist II,https://www.indeed.com/rc/clk?jk=506321fb09ca757a&fccid=503cbddf55bc6990&vjs=3,artificial_intelligence,3.9,PHD/Doctorate Degree,MetLife,Insurance,80000-99999,Business Intelligence,Power BI,Tableau,,,,,,,,,,,
Job54,Orlando,98101,AI Scientist,https://www.indeed.com/rc/clk?jk=dfdc7580d00f9701&fccid=df9dc5d07ee2f57f&vjs=3,artificial_intelligence,3.8,Masters Degree,Talking Rain Beverage Company,Consumer Goods and Services,80000-99999,Data Mining,Machine Learning,R,Python,Excel,SQL,,,,,,,,
Job55,New York City,53558,AI Scientist,https://www.indeed.com/rc/clk?jk=39e1704da7d43250&fccid=8e62baf61c1eb713&vjs=3,artificial_intelligence,1.3,Bachelors Degree,Bright Cellars,Software Development,80000-99999,MySQL,Machine Learning,R,Python,,,,,,,,,,
Job56,Boston,63101,AI Scientist,https://www.indeed.com/rc/clk?jk=b8c2c1edf382da16&fccid=9856c18783985871&vjs=3,artificial_intelligence,3.6,Masters Degree,Schnucks,Retail,80000-99999,Statistical Software,R,SAS,Microsoft Office,Excel,SQL,Big Data,Alteryx,SPSS,MATLAB,Six Sigma Certification,Six Sigma,Google Suite,Python
Job57,Seattle,60657,AI Scientist / Prognostic Health Monitoring Specialist,https://www.indeed.com/rc/clk?jk=b6c729d7c5e25f9a&fccid=7942658690eba67c&vjs=3,artificial_intelligence,4.1,Masters Degree,Abbott Laboratories,Health Care,80000-99999,Machine Learning,R,SQL,MATLAB,Python,Signal Processing,,,,,,,,
Job58,Madison,94115,AI Scientist,https://www.indeed.com/rc/clk?jk=52ec4b0d6a7bf140&fccid=5bee64c47451d1c2&vjs=3,artificial_intelligence,4.2,PHD/Doctorate Degree,Lawrence Berkeley National Laboratory,Government,80000-99999,Perl,Statisical Analysis,C/C++,Java,Troubleshooting,Python,,,,,,,,
Job59,St. Louis,48127,AI Analytics - AI Scientist,https://www.indeed.com/rc/clk?jk=21243f4032e14aa5&fccid=aa8a1b8314910702&vjs=3,artificial_intelligence,4,PHD/Doctorate Degree,Consumers Energy,Energy and Utilities,80000-99999,Microsoft SQL Server,Microsoft Powerpoint,Visual Basic,SAP,SQL,Tableau,Six Sigma Certification,,,,,,,
Job60,Chicago,10001,AI scientist,https://www.indeed.com/rc/clk?jk=93c82adc03bab87f&fccid=0dec8b7e81d58180&vjs=3,artificial_intelligence,3.1,PHD/Doctorate Degree,VillageCare,Software Development,80000-99999,Business Intelligence,SQL,Excel,Microsoft Access,,,,,,,,,,
Job61,San Francisco,10001,AI Scientist,https://www.indeed.com/rc/clk?jk=533390bac654f181&fccid=306f81e1483f7d82&vjs=3,artificial_intelligence,3.5,PHD/Doctorate Degree,Intercontinental Exchange,Banks and Financial Services,80000-99999,Machine Learning,Visual Basic,R,Oracle,C/C++,SQL,Java,Python,,,,,,
Job62,Detroit,94115,Intern - AI Scientist,https://www.indeed.com/rc/clk?jk=6c14cab0a5158d2e&fccid=0562f887e2bed9ea&vjs=3,artificial_intelligence,4.1,PHD/Doctorate Degree,Palo Alto Networks,Internet and Software,80000-99999,JavaScript,Spark,Machine Learning,Hadoop,Data Science,,,,,,,,,
Job63,New York City,40018,AI Scientist,https://www.indeed.com/rc/clk?jk=0c92db28cfa8fb39&fccid=f0bdae477b5bbe76&vjs=3,artificial_intelligence,2.7,PHD/Doctorate Degree,The Rawlings Group,Insurance,80000-99999,Data Mining,Machine Learning,R,Python,SQL,,,,,,,,,
Job64,New York City,85001,AI Scientist,https://www.indeed.com/rc/clk?jk=55e1b6d90be86df7&fccid=b1f63de84c0bf6ed&vjs=3,artificial_intelligence,3.2,PHD/Doctorate Degree,Caris Life Sciences,Software Development,80000-99999,Linux,Data Mining,R,Python,SQL,,,,,,,,,
Job66,San Francisco,32808,Senior AI Scientist,https://www.indeed.com/rc/clk?jk=64420a48909a483f&fccid=27a2140ddcca6697&vjs=3,artificial_intelligence,3.4,Masters Degree,ADT Corporation,Software Development,80000-99999,Microsoft Powerpoint,Visual Basic,R,Python,SQL,Microsoft Office,Tableau,,,,,,,
Job67,Louisville,98101,Sr AI Scientist,https://www.indeed.com/rc/clk?jk=6a8aa03c5e67beb6&fccid=d124dbfd3785b597&vjs=3,artificial_intelligence,4,Bachelors Degree,T-Mobile,Telecommunications,80000-99999,Statistical Software,Data Mining,Microsoft SQL Server,Microsoft Powerpoint,R,Marketing,SAS,Oracle,Microsoft Office,Minitab,Teradata,STATA,SPSS,MATLAB
Job68,Pheonix,19019,AI Scientist - IS&T,https://www.indeed.com/rc/clk?jk=9e8785705ed60b0e&fccid=cce48ad42816872f&vjs=3,artificial_intelligence,4,PHD/Doctorate Degree,Thomas Jefferson University and Hospitals,Education and Schools,80000-99999,Linux,Data Mining,Machine Learning,R,SAS,SQL,Natural Language Processing,Python,,,,,,
Job69,Las Vegas,02101,AI Science Development Program- Junior AI Scientist,https://www.indeed.com/rc/clk?jk=fb86202738fc1da8&fccid=acf786d7ca32d66d&vjs=3,artificial_intelligence,3.8,Bachelors Degree,MassMutual Financial Group,Banks and Financial Services,80000-99999,Machine Learning,R,Python,SQL,,,,,,,,,,
Job70,Orlando,60657,AI Scientist,https://www.indeed.com/rc/clk?jk=8d5a79f14333dfaf&fccid=7cb8926c790321ab&vjs=3,artificial_intelligence,3.2,Masters Degree,Catalina Marketing,Consulting and Business Services,80000-99999,Data Mining,Machine Learning,R,SAS,Data Science,Python,SQL,,,,,,,
Job71,Seattle,84044,AI Scientist,https://www.indeed.com/rc/clk?jk=23959f0e43391047&fccid=f89deb5a97c7738a&vjs=3,artificial_intelligence,4.3,Associates Degree,Adobe,Internet and Software,80000-99999,Hive,Machine Learning,R,Python,SQL,,,,,,,,,
Job72,Philadelphia,29401,Check and Deposit Fraud AI Scientist,https://www.indeed.com/rc/clk?jk=54f612661b33b32d&fccid=759af91e89b79cf5&vjs=3,artificial_intelligence,3.7,Associates Degree,BB&T,Banks and Financial Services,80000-99999,AI,Data Mining,Microsoft SQL Server,Machine Learning,R,SAS,SQL,Tableau,ACH,Six Sigma,Python,DB2,,
Job73,Boston,02101,AI Scientist,https://www.indeed.com/rc/clk?jk=5fd33b1724688e18&fccid=a3b51ece17c02aae&vjs=3,artificial_intelligence,4,Masters Degree,AbbVie,Pharmaceuticals,80000-99999,R,Bioinformatics,SQL,Software Development,NoSQL,Python,,,,,,,,
Job74,Chicago,80014,Geospatial AI Scientist 2,https://www.indeed.com/rc/clk?jk=493d7a0f57ab4623&fccid=b4ae64835618776c&vjs=3,artificial_intelligence,3.7,Masters Degree,National Renewable Energy Laboratory,Government,80000-99999,NoSQL,Project Management,Python,SQL,,,,,,,,,,
Job76,Salt Lake City,75001,AI Scientist,https://www.indeed.com/rc/clk?jk=39838cd4ac047f94&fccid=5793e68a003f2fb6&vjs=3,artificial_intelligence,4.2,PHD/Doctorate Degree,Southern Methodist University,Education and Schools,80000-99999,Time Management,Machine Learning,Project Management,R,SAS,SQL,Python,,,,,,,
Job77,Charleston,10001,AI Scientist,https://www.indeed.com/rc/clk?jk=8b5e6a71e0e77ba4&fccid=9a4fade2f40ee987&vjs=3,artificial_intelligence,2.5,PHD/Doctorate Degree,New York Media LLC,Software Development,80000-99999,JavaScript,Google Analytics,Marketing,Python,SQL,Tableau,,,,,,,,
Job78,Boston,21401,AI Scientist (Bioinformatics),https://www.indeed.com/rc/clk?jk=acac7e68d229eec3&fccid=9dbd283fa12577b2&vjs=3,artificial_intelligence,4,Associates Degree,ESAC Inc,Software Development,80000-99999,Linux,Perl,R,Bioinformatics,MySQL,Design Experience,Software Development,Cell Biology,Statistical Software,Oracle,Java,Python,,
Job79,Denver,22434,AI Scientist - Intern/Coop,https://www.indeed.com/rc/clk?jk=98ad2ee5dae91702&fccid=de71a49b535e21cb&vjs=3,artificial_intelligence,3.9,Masters Degree,IBM,Consulting and Business Services,80000-99999,JavaScript,R,SQL,Excel,Tableau,Java,MySQL,NoSQL,Python,DB2,,,,
Job80,Omaha,55111,AI Scientist,https://www.indeed.com/rc/clk?jk=77ade8bc14b7b582&fccid=ae5bfc395c530fbc&vjs=3,artificial_intelligence,3.7,Masters Degree,U.S. Bank,Banks and Financial Services,80000-99999,Project Management,R,SAS,Python,Tableau,,,,,,,,,
Job81,Dallas,75001,AI Scientist,https://www.indeed.com/rc/clk?jk=5fa26770c86b9dda&fccid=9260904b009b7f86&vjs=3,artificial_intelligence,3.8,Bachelors Degree,Vistra Energy,Software Development,80000-99999,TensorFlow,Data Mining,Machine Learning,,,,,,,,,,,
Job82,New York City,19019,AI Scientist,https://www.indeed.com/rc/clk?jk=a2f2e2309a4f63b7&fccid=b1330bfa6e5aae73&vjs=3,artificial_intelligence,3.7,Masters Degree,PNC,Banks and Financial Services,80000-99999,Data Mining,Machine Learning,Military Experience,RMF,,,,,,,,,,
Job83,Annapolis,72002,AI Scientist-Marketing GCIA,https://www.indeed.com/rc/clk?jk=7de209187209d771&fccid=822bc5d9a49270ea&vjs=3,artificial_intelligence,3.6,Associates Degree,Walmart,Retail,80000-99999,Microsoft SQL Server,Data Mining,R,Oracle,SAS,SQL,Big Data,DB2,,,,,,
Job84,San Deigo,75001,AI Scientist,https://www.indeed.com/rc/clk?jk=4ff9b5212ff9c5d0&fccid=9e0c3ec37a48b2b9&vjs=3,artificial_intelligence,3.7,Masters Degree,TXU Energy,Energy and Utilities,80000-99999,TensorFlow,Data Mining,Machine Learning,,,,,,,,,,,
Job85,Minneapolis,48127,Principal AI Scientist,https://www.indeed.com/rc/clk?jk=5eb41a66790f6340&fccid=7847eeddd5ec77ae&vjs=3,artificial_intelligence,4,Masters Degree,Stryker,Health Care,80000-99999,Machine Learning,Hadoop,Azure,R,SQL,T-SQL,PL/SQL,Spark,Git,,Software Development,Python,AWS,
Job86,Dallas,98101,Manufacturing AI Scientist,https://www.indeed.com/rc/clk?jk=1f357ab814a2c078&fccid=eeac04fbf92c1c66&vjs=3,artificial_intelligence,3.7,Associates Degree,Nippon Dynawave Packaging,Software Development,80000-99999,AI,Data Mining,Machine Learning,Six Sigma,Lean,Microsoft Office,,,,,,,,
Job87,Philadelphia,10001,AI Scientist,https://www.indeed.com/rc/clk?jk=c28a4eddddf228fb&fccid=867d82af62a0e5c1&vjs=3,artificial_intelligence,4.1,Associates Degree,Smith Hanley Associates,Consulting and Business Services,80000-99999,Machine Learning,R,Python,,,,,,,,,,,
Job88,Little Rock,48127,Machine Learning and Artificial Intelligence Scientist,https://www.indeed.com/rc/clk?jk=b2da45661c390b4d&fccid=f161bd11bb997f0a&vjs=3,artificial_intelligence,4.2,Bachelors Degree,BASF,Industrial Manufacturing,80000-99999,AI,Machine Learning,R,Python,,,,,,,,,,
Job89,Dallas,19019,AI Scientist,https://www.indeed.com/rc/clk?jk=db325d2b32586a9a&fccid=b75dda97eecc3e82&vjs=3,artificial_intelligence,3.8,PHD/Doctorate Degree,UPMC,Health Care,80000-99999,Machine Learning,Data Management,MATLAB,R,SAS,,,,,,,,,
Job90,Detroit,32808,Senior AI Scientist,https://www.indeed.com/rc/clk?jk=6da85f2e28c97d5f&fccid=27a2140ddcca6697&vjs=3,artificial_intelligence,3.4,Bachelors Degree,ADT Security Services,Software Development,80000-99999,Microsoft Powerpoint,Visual Basic,R,Python,SQL,Microsoft Office,Tableau,,,,,,,
Job91,Seattle,23173,Junior AI Scientist,https://www.indeed.com/rc/clk?jk=3beed43463db63fe&fccid=12626f295bf6a003&vjs=3,artificial_intelligence,4,PHD/Doctorate Degree,Logistics Management Institute,Software Development,80000-99999,Power BI,R,JSON,SQL,Tableau,Java,Natural Language Processing,MATLAB,OOP,Python,,,,
